id,domain,category,audience,question,answer,keywords,source
VASTRA-00001,handloom,Materials,customer|professional,What is Mulberry Silk and what is it used for?,"Mulberry Silk is a protein fibre. Common handloom uses include premium sarees, blouses, stoles and ceremonial garments. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","mulberry silk, material, uses",Curated Vastra domain knowledge
VASTRA-00002,handloom,Material Care,customer,How should I wash Mulberry Silk?,"For many valuable silk products, professional cleaning is safest. Follow the exact care label; avoid prolonged soaking and harsh detergents.","mulberry silk, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00003,handloom,Material Care,customer,How should I iron Mulberry Silk?,"If ironing is permitted, use low heat and a pressing cloth, preferably from the reverse side.","mulberry silk, iron, pressing",Curated Vastra domain knowledge
VASTRA-00004,handloom,Material Care,customer,How should I store Mulberry Silk?,"Store clean and completely dry, folded loosely in breathable fabric and away from strong sunlight.","mulberry silk, storage",Curated Vastra domain knowledge
VASTRA-00005,handloom,Material Selection,customer|professional,Is Mulberry Silk suitable for everyday use?,"Mulberry Silk can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","mulberry silk, everyday, selection",Curated Vastra domain knowledge
VASTRA-00006,handloom,Materials,customer|professional,What is Bivoltine Mulberry Silk and what is it used for?,"Bivoltine Mulberry Silk is a protein fibre. Common handloom uses include high-quality silk sarees and premium garments. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","bivoltine mulberry silk, material, uses",Curated Vastra domain knowledge
VASTRA-00007,handloom,Material Care,customer,How should I wash Bivoltine Mulberry Silk?,Use the product care label. Professional cleaning is often preferred for valuable dyed or embellished pieces.,"bivoltine mulberry silk, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00008,handloom,Material Care,customer,How should I iron Bivoltine Mulberry Silk?,Low heat with a pressing cloth when permitted; avoid direct high heat.,"bivoltine mulberry silk, iron, pressing",Curated Vastra domain knowledge
VASTRA-00009,handloom,Material Care,customer,How should I store Bivoltine Mulberry Silk?,"Keep dry, protected from insects and prolonged light.","bivoltine mulberry silk, storage",Curated Vastra domain knowledge
VASTRA-00010,handloom,Material Selection,customer|professional,Is Bivoltine Mulberry Silk suitable for everyday use?,"Bivoltine Mulberry Silk can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","bivoltine mulberry silk, everyday, selection",Curated Vastra domain knowledge
VASTRA-00011,handloom,Materials,customer|professional,What is Tropical Tasar Silk and what is it used for?,"Tropical Tasar Silk is a wild/vanya silk. Common handloom uses include sarees, stoles, dress materials and textiles. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","tropical tasar silk, material, uses",Curated Vastra domain knowledge
VASTRA-00012,handloom,Material Care,customer,How should I wash Tropical Tasar Silk?,Care varies with weave and dye. Use gentle care or professional cleaning for valuable pieces.,"tropical tasar silk, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00013,handloom,Material Care,customer,How should I iron Tropical Tasar Silk?,Use low heat and a pressing cloth if permitted.,"tropical tasar silk, iron, pressing",Curated Vastra domain knowledge
VASTRA-00014,handloom,Material Care,customer,How should I store Tropical Tasar Silk?,Fold gently and store dry with breathable protection.,"tropical tasar silk, storage",Curated Vastra domain knowledge
VASTRA-00015,handloom,Material Selection,customer|professional,Is Tropical Tasar Silk suitable for everyday use?,"Tropical Tasar Silk can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","tropical tasar silk, everyday, selection",Curated Vastra domain knowledge
